Date,Spending,Income
01-01-1995,4851.2,3492.4
02-01-1995,4850.8,3489.9
03-01-1995,4885.4,3491.1
04-01-1995,4890.2,3499.2
05-01-1995,4933.1,3524.2
06-01-1995,4977.5,3548.9
07-01-1995,4970.2,3567.4
08-01-1995,5005.3,3589
09-01-1995,5020.5,3602.1
10-01-1995,5013.9,3613.4
11-01-1995,5055.6,3619.9
12-01-1995,5097.5,3629.5
01-01-1996,5085.7,3647.9
02-01-1996,5132.8,3661.9
03-01-1996,5173.3,3687
04-01-1996,5208,3697.8
05-01-1996,5223.8,3709.7
06-01-1996,5229.8,3722.7
07-01-1996,5251.9,3737.3
08-01-1996,5275,3744.3
09-01-1996,5296.6,3753.7
10-01-1996,5328.5,3771
11-01-1996,5351.2,3790.2
12-01-1996,5378.6,3810.5
01-01-1997,5411.1,3824.8
02-01-1997,5434,3836.4
03-01-1997,5454.2,3851.3
04-01-1997,5459.3,3867.4
05-01-1997,5460.2,3879.2
06-01-1997,5494.2,3896
07-01-1997,5548.8,3913.9
08-01-1997,5587,3947.5
09-01-1997,5601.7,3963.2
10-01-1997,5637.7,3982.3
11-01-1997,5661.1,4004.8
12-01-1997,5692.1,4023
01-01-1998,5689.9,4046.3
02-01-1998,5723.8,4079
03-01-1998,5750.3,4104.6
04-01-1998,5788.1,4130.3
05-01-1998,5837.9,4154.2
06-01-1998,5871.7,4174.1
07-01-1998,5890,4193.8
08-01-1998,5925,4218.8
09-01-1998,5965.6,4257.7
10-01-1998,5998.8,4297.8
11-01-1998,6015.4,4336.8
12-01-1998,6070.5,4365.7
01-01-1999,6072.9,4393.1
02-01-1999,6101.8,4415.8
03-01-1999,6132.9,4422.7
04-01-1999,6196.2,4451.3
05-01-1999,6225.7,4475.5
06-01-1999,6254,4497.3
07-01-1999,6281.5,4524.6
08-01-1999,6326.5,4541.8
09-01-1999,6378.8,4557.9
10-01-1999,6402.1,4581.6
11-01-1999,6437.9,4600.6
12-01-1999,6538.7,4628.1
01-01-2000,6535.3,4656.3
02-01-2000,6619.7,4669.6
03-01-2000,6685.8,4700.4
04-01-2000,6671.1,4756.2
05-01-2000,6707.6,4743.7
06-01-2000,6743.9,4761.5
07-01-2000,6764.1,4779
08-01-2000,6799.1,4807.2
09-01-2000,6882.9,4842.8
10-01-2000,6888.2,4858.8
11-01-2000,6902.4,4869.7
12-01-2000,6945.7,4914.4
01-01-2001,6977,4965
02-01-2001,6995.8,5003.2
03-01-2001,6987.9,5061.1
04-01-2001,7001.2,5125
05-01-2001,7047.1,5121.8
06-01-2001,7060.7,5162.1
07-01-2001,7072.2,5192
08-01-2001,7108.9,5225.9
09-01-2001,7012.8,5336.5
10-01-2001,7208.4,5323
11-01-2001,7167.9,5366.5
12-01-2001,7147.7,5419.6
01-01-2002,7174.3,5440.1
02-01-2002,7218.3,5469.6
